File,Formula
Low_0-30_Female.csv,85.87 + (12.78 * df['SPA_Avg'] + 2.03 * df['DPA_Avg'] + -17.53 * df['SPT_Avg'] + -8.89 * df['DPT_Avg'] + 11.90 * df['BT_Avg'] + 0.25 * df['RATIO_AREA'] + -4.70 * df['P2PT1'] + 10.39 * df['Pulse_Interval1'] + -7.00 * df['Pulse_width_at_1_4th_height'] + 8.41 * df['Pulse_width_at_3_4th_height'])
Low_31-60_Female.csv,87.94 + (14.29 * df['SPA_Avg'] + -14.89 * df['DPA_Avg'] + 0.66 * df['SPT_Avg'] + 2.46 * df['DPT_Avg'] + -0.28 * df['BT_Avg'] + 0.00 * df['RATIO_AREA'] + 10.17 * df['P2PT1'] + -7.79 * df['Pulse_Interval1'] + -6.32 * df['Pulse_width_at_1_4th_height'] + 2.61 * df['Pulse_width_at_3_4th_height'])
Low_61-90_Female.csv,121.70 + (-9.18 * df['SPA_Avg'] + -112.10 * df['DPA_Avg'] + 119.08 * df['SPT_Avg'] + 23.73 * df['DPT_Avg'] + -32.97 * df['BT_Avg'] + -7.64 * df['RATIO_AREA'] + -7.05 * df['P2PT1'] + 62.66 * df['Pulse_Interval1'] + -76.41 * df['Pulse_width_at_1_4th_height'] + -16.59 * df['Pulse_width_at_3_4th_height'])
Low_0-30_Male.csv,87.11 + (-56.23 * df['SPA_Avg'] + 123.23 * df['DPA_Avg'] + -56.01 * df['SPT_Avg'] + -9.25 * df['DPT_Avg'] + 7.96 * df['BT_Avg'] + -0.05 * df['RATIO_AREA'] + 24.11 * df['P2PT1'] + -16.04 * df['Pulse_Interval1'] + -12.01 * df['Pulse_width_at_1_4th_height'] + 19.88 * df['Pulse_width_at_3_4th_height'])
Low_31-60_Male.csv,95.26 + (14.24 * df['SPA_Avg'] + -19.04 * df['DPA_Avg'] + 3.10 * df['SPT_Avg'] + -3.85 * df['DPT_Avg'] + 2.49 * df['BT_Avg'] + -0.19 * df['RATIO_AREA'] + -6.33 * df['P2PT1'] + 1.64 * df['Pulse_Interval1'] + 1.87 * df['Pulse_width_at_1_4th_height'] + -0.49 * df['Pulse_width_at_3_4th_height'])
Low_61-90_Male.csv,97.88 + (-100.54 * df['SPA_Avg'] + 137.62 * df['DPA_Avg'] + -46.09 * df['SPT_Avg'] + -12.59 * df['DPT_Avg'] + 14.15 * df['BT_Avg'] + -0.27 * df['RATIO_AREA'] + -12.18 * df['P2PT1'] + -2.43 * df['Pulse_Interval1'] + 37.92 * df['Pulse_width_at_1_4th_height'] + -9.11 * df['Pulse_width_at_3_4th_height'])
Medium_0-30_Female.csv,116.85 + (-1.74 * df['SPA_Avg'] + -23.17 * df['DPA_Avg'] + 29.67 * df['SPT_Avg'] + 2.84 * df['DPT_Avg'] + -0.50 * df['BT_Avg'] + 0.00 * df['RATIO_AREA'] + -14.93 * df['P2PT1'] + 0.08 * df['Pulse_Interval1'] + -6.83 * df['Pulse_width_at_1_4th_height'] + 4.99 * df['Pulse_width_at_3_4th_height'])
Medium_31-60_Female.csv,115.47 + (14.73 * df['SPA_Avg'] + -13.41 * df['DPA_Avg'] + -0.34 * df['SPT_Avg'] + 0.26 * df['DPT_Avg'] + -3.17 * df['BT_Avg'] + 0.00 * df['RATIO_AREA'] + -9.00 * df['P2PT1'] + 1.46 * df['Pulse_Interval1'] + 0.75 * df['Pulse_width_at_1_4th_height'] + 6.49 * df['Pulse_width_at_3_4th_height'])
Medium_61-90_Female.csv,120.47 + (-17.96 * df['SPA_Avg'] + -26.99 * df['DPA_Avg'] + 35.93 * df['SPT_Avg'] + 10.72 * df['DPT_Avg'] + -5.19 * df['BT_Avg'] + -0.33 * df['RATIO_AREA'] + -25.82 * df['P2PT1'] + 24.93 * df['Pulse_Interval1'] + -15.53 * df['Pulse_width_at_1_4th_height'] + 22.28 * df['Pulse_width_at_3_4th_height'])
Medium_0-30_Male.csv,115.66 + (32.64 * df['SPA_Avg'] + -42.11 * df['DPA_Avg'] + 12.46 * df['SPT_Avg'] + -4.53 * df['DPT_Avg'] + 3.68 * df['BT_Avg'] + 0.28 * df['RATIO_AREA'] + -21.68 * df['P2PT1'] + 4.54 * df['Pulse_Interval1'] + 9.77 * df['Pulse_width_at_1_4th_height'] + -13.61 * df['Pulse_width_at_3_4th_height'])
Medium_31-60_Male.csv,112.55 + (10.62 * df['SPA_Avg'] + -11.58 * df['DPA_Avg'] + 2.29 * df['SPT_Avg'] + 7.97 * df['DPT_Avg'] + -12.17 * df['BT_Avg'] + 0.03 * df['RATIO_AREA'] + -21.90 * df['P2PT1'] + 19.25 * df['Pulse_Interval1'] + -0.42 * df['Pulse_width_at_1_4th_height'] + 8.78 * df['Pulse_width_at_3_4th_height'])
Medium_61-90_Male.csv,118.04 + (0.63 * df['SPA_Avg'] + -60.88 * df['DPA_Avg'] + 63.17 * df['SPT_Avg'] + -3.27 * df['DPT_Avg'] + 1.86 * df['BT_Avg'] + -0.56 * df['RATIO_AREA'] + -4.48 * df['P2PT1'] + 4.82 * df['Pulse_Interval1'] + 10.55 * df['Pulse_width_at_1_4th_height'] + -12.45 * df['Pulse_width_at_3_4th_height'])
High_0-30_Female.csv,193.76 + (-44.69 * df['SPA_Avg'] + 4.72 * df['DPA_Avg'] + 48.21 * df['SPT_Avg'] + 47.29 * df['DPT_Avg'] + -48.58 * df['BT_Avg'] + -9.79 * df['RATIO_AREA'] + -17.58 * df['P2PT1'] + 13.97 * df['Pulse_Interval1'] + -42.07 * df['Pulse_width_at_1_4th_height'] + -25.26 * df['Pulse_width_at_3_4th_height'])
High_31-60_Female.csv,253.46 + (-95.77 * df['SPA_Avg'] + 247.09 * df['DPA_Avg'] + -137.66 * df['SPT_Avg'] + -47.60 * df['DPT_Avg'] + 27.32 * df['BT_Avg'] + 1.53 * df['RATIO_AREA'] + 48.35 * df['P2PT1'] + -55.27 * df['Pulse_Interval1'] + -68.65 * df['Pulse_width_at_1_4th_height'] + 108.54 * df['Pulse_width_at_3_4th_height'])
High_61-90_Female.csv,221.09 + (147.61 * df['SPA_Avg'] + -554.84 * df['DPA_Avg'] + 484.21 * df['SPT_Avg'] + -0.96 * df['DPT_Avg'] + -65.18 * df['BT_Avg'] + -9.71 * df['RATIO_AREA'] + 63.22 * df['P2PT1'] + 110.85 * df['Pulse_Interval1'] + -175.57 * df['Pulse_width_at_1_4th_height'] + -13.58 * df['Pulse_width_at_3_4th_height'])
High_0-30_Male.csv,123.91 + (226.44 * df['SPA_Avg'] + -152.87 * df['DPA_Avg'] + -71.42 * df['SPT_Avg'] + 162.11 * df['DPT_Avg'] + -180.33 * df['BT_Avg'] + -9.60 * df['RATIO_AREA'] + -512.24 * df['P2PT1'] + 522.03 * df['Pulse_Interval1'] + -17.10 * df['Pulse_width_at_1_4th_height'] + 108.98 * df['Pulse_width_at_3_4th_height'])
High_31-60_Male.csv,209.73 + (129.03 * df['SPA_Avg'] + -12.35 * df['DPA_Avg'] + -112.21 * df['SPT_Avg'] + 5.67 * df['DPT_Avg'] + -5.33 * df['BT_Avg'] + -0.03 * df['RATIO_AREA'] + -64.81 * df['P2PT1'] + 63.44 * df['Pulse_Interval1'] + -90.44 * df['Pulse_width_at_1_4th_height'] + 144.24 * df['Pulse_width_at_3_4th_height'])
High_61-90_Male.csv,273.10 + (-28.62 * df['SPA_Avg'] + -12.41 * df['DPA_Avg'] + 46.18 * df['SPT_Avg'] + -51.57 * df['DPT_Avg'] + 21.98 * df['BT_Avg'] + 3.14 * df['RATIO_AREA'] + 39.14 * df['P2PT1'] + -39.72 * df['Pulse_Interval1'] + -65.65 * df['Pulse_width_at_1_4th_height'] + 22.09 * df['Pulse_width_at_3_4th_height'])
